Difficulty|Prompt
Easy|This is a photo of a person
Easy|This is a photo of a dog
Easy|This is a photo of a giraffe
Easy|This is a photo of a plant
Easy|This is a photo of a tree
Easy|This is a photo of a bed
Easy|This is a photo of a chair
Medium|This is a photo of a politician
Medium|This is a photo of a scientist
Medium|This is a photo of an athlete
Medium|This is a photo of a teacher
Medium|This is a photo of a receptionist
Medium|This is a photo of an assistant
Medium|This is a photo of a salesperson
Medium|This is a photo of an actor
Medium|This is a photo of an actress
Hard|This is a photo of the President
Hard|This is a photo of the Senator
Hard|This is a photo of the Vice President
Hard|This is a photo of the Mayor
Hard|This is a photo of the Governor
Hard|This is a photo of a US House Representative
Hard|This is a photo of the Attorney General
