""	"Unnamed: 0"	"filename"	"names"	"district"	"born"	"resides"	"gender"	"party"
0	0	"000.jpg"	"Abigail Spanberger"	"Virginia 7"	"August 7, 1979"	"Glen Allen"	"woman"	"democratic"
1	1	"001.jpg"	"Adam Kinzinger"	"Illinois 16"	"February 27, 1978"	"Channahon"	"man"	"republican"
2	2	"002.jpg"	"Adam Schiff"	"California 28"	"June 22, 1960"	"Burbank"	"man"	"democratic"
3	3	"003.jpg"	"Adam Smith"	"Washington 9"	"June 15, 1965"	"Bellevue"	"man"	"democratic"
4	4	"004.jpg"	"Adrian Smith"	"Nebraska 3"	"December 19, 1970"	"Gering"	"man"	"republican"
5	5	"005.jpg"	"Adriano Espaillat"	"New York 13"	"September 27, 1954"	"Manhattan"	"man"	"democratic"
6	6	"006.jpg"	"Al Green"	"Texas 9"	"September 1, 1947"	"Houston"	"man"	"democratic"
7	7	"007.jpg"	"Al Lawson"	"Florida 5"	"September 23, 1948"	"Tallahassee"	"man"	"democratic"
8	8	"008.jpg"	"Alan Lowenthal"	"California 47"	"March 8, 1941"	"Long Beach"	"man"	"democratic"
9	9	"009.jpg"	"Albio Sires"	"New Jersey 8"	"January 26, 1951"	"West New York"	"man"	"democratic"
10	10	"010.jpg"	"Alex Mooney"	"West Virginia 2"	"June 7, 1971"	"Charles Town"	"man"	"republican"
11	11	"011.jpg"	"Alexandria Ocasio-Cortez"	"New York 14"	"October 13, 1989"	"The Bronx"	"woman"	"democratic"
12	12	"012.jpg"	"Alma Adams"	"North Carolina 12"	"May 27, 1946"	"Charlotte"	"woman"	"democratic"
13	13	"013.jpg"	"Amata Coleman Radewagen"	"American Samoa at-large"	"December 29, 1947"	"Pago Pago"	"woman"	"republican"
14	14	"014.jpg"	"Ami Bera"	"California 7"	"March 2, 1965"	"Elk Grove"	"man"	"democratic"
15	15	"015.jpg"	"André Carson"	"Indiana 7"	"October 16, 1974"	"Indianapolis"	"man"	"democratic"
16	16	"016.jpg"	"Andrew Clyde"	"Georgia 9"	"November 22, 1963"	"Athens"	"man"	"republican"
17	17	"017.jpg"	"Andrew Garbarino"	"New York 2"	"September 27, 1984"	"Sayville"	"man"	"republican"
18	18	"018.jpg"	"Andy Barr"	"Kentucky 6"	"July 24, 1973"	"Lexington"	"man"	"republican"
19	19	"019.jpg"	"Andy Biggs"	"Arizona 5"	"November 7, 1958"	"Gilbert"	"man"	"republican"
20	20	"020.jpg"	"Andy Harris"	"Maryland 1"	"January 25, 1957"	"Cockeysville"	"man"	"republican"
21	21	"021.jpg"	"Andy Kim"	"New Jersey 3"	"July 12, 1982"	"Moorestown"	"man"	"democratic"
22	22	"022.jpg"	"Andy Levin"	"Michigan 9"	"August 10, 1960"	"Bloomfield Township"	"man"	"democratic"
23	23	"023.jpg"	"Angie Craig"	"Minnesota 2"	"February 14, 1972"	"Eagan"	"woman"	"democratic"
24	24	"024.jpg"	"Ann Kirkpatrick"	"Arizona 2"	"March 24, 1950"	"Tucson"	"woman"	"democratic"
25	25	"025.jpg"	"Ann Wagner"	"Missouri 2"	"September 13, 1962"	"Ballwin"	"woman"	"republican"
26	26	"026.jpg"	"Anna Eshoo"	"California 18"	"December 13, 1942"	"Atherton"	"woman"	"democratic"
27	27	"027.jpg"	"Annie Kuster"	"New Hampshire 2"	"September 5, 1956"	"Hopkinton"	"woman"	"democratic"
28	28	"028.jpg"	"Anthony G. Brown"	"Maryland 4"	"November 21, 1961"	"Bowie"	"man"	"democratic"
29	29	"029.jpg"	"Anthony Gonzalez"	"Ohio 16"	"September 18, 1984"	"Rocky River"	"man"	"republican"
30	30	"030.jpg"	"Ashley Hinson"	"Iowa 1"	"June 27, 1983"	"Marion"	"woman"	"republican"
31	31	"031.jpg"	"August Pfluger"	"Texas 11"	"December 28, 1978"	"San Angelo"	"man"	"republican"
32	32	"032.jpg"	"Austin Scott"	"Georgia 8"	"December 10, 1969"	"Tifton"	"man"	"republican"
33	33	"033.jpg"	"Ayanna Pressley"	"Massachusetts 7"	"February 3, 1974"	"Boston"	"woman"	"democratic"
34	34	"034.jpg"	"Barbara Lee"	"California 13"	"July 16, 1946"	"Oakland"	"woman"	"democratic"
35	35	"035.jpg"	"Barry Loudermilk"	"Georgia 11"	"December 22, 1963"	"Cassville"	"man"	"republican"
36	36	"036.jpg"	"Barry Moore"	"Alabama 2"	"September 26, 1966"	"Enterprise"	"man"	"republican"
37	37	"037.jpg"	"Ben Cline"	"Virginia 6"	"February 29, 1972"	"Rockbridge County"	"man"	"republican"
38	38	"038.jpg"	"Bennie Thompson"	"Mississippi 2"	"January 28, 1948"	"Bolton"	"man"	"democratic"
39	39	"039.jpg"	"Beth Van Duyne"	"Texas 24"	"November 16, 1970"	"Irving"	"woman"	"republican"
40	40	"040.jpg"	"Betty McCollum"	"Minnesota 4"	"July 12, 1954"	"Saint Paul"	"woman"	"democratic"
41	41	"041.jpg"	"Bill Foster"	"Illinois 11"	"October 7, 1955"	"Naperville"	"man"	"democratic"
42	42	"042.jpg"	"Bill Huizenga"	"Michigan 2"	"January 31, 1969"	"Holland"	"man"	"republican"
43	43	"043.jpg"	"Bill Johnson"	"Ohio 6"	"November 10, 1954"	"Marietta"	"man"	"republican"
44	44	"044.jpg"	"Bill Keating"	"Massachusetts 9"	"September 6, 1952"	"Bourne"	"man"	"democratic"
45	45	"045.jpg"	"Bill Pascrell"	"New Jersey 9"	"January 25, 1937"	"Paterson"	"man"	"republican"
46	46	"046.jpg"	"Bill Posey"	"Florida 8"	"December 18, 1947"	"Rockledge"	"man"	"republican"
47	47	"047.jpg"	"Billy Long"	"Missouri 7"	"August 11, 1955"	"Springfield"	"man"	"republican"
48	48	"048.jpg"	"Blaine Luetkemeyer"	"Missouri 3"	"May 7, 1952"	"St. Elizabeth"	"man"	"republican"
49	49	"049.jpg"	"Blake Moore"	"Utah 1"	"June 22, 1980"	"Salt Lake City"	"man"	"republican"
50	50	"050.jpg"	"Bob Gibbs"	"Ohio 7"	"June 14, 1954"	"Lakeville"	"man"	"republican"
51	51	"051.jpg"	"Bob Good"	"Virginia 5"	"September 11, 1965"	"Evington"	"man"	"republican"
52	52	"052.jpg"	"Bob Latta"	"Ohio 5"	"April 18, 1956"	"Bowling Green"	"man"	"republican"
53	53	"053.jpg"	"Bobby Rush"	"Illinois 1"	"November 23, 1946"	"Chicago"	"man"	"democratic"
54	54	"054.jpg"	"Bobby Scott"	"Virginia 3"	"April 30, 1947"	"Newport News"	"man"	"democratic"
55	55	"055.jpg"	"Bonnie Watson Coleman"	"New Jersey 12"	"February 6, 1945"	"Ewing Township"	"woman"	"democratic"
56	56	"056.jpg"	"Brad Schneider"	"Illinois 10"	"August 20, 1961"	"Deerfield"	"man"	"democratic"
57	57	"057.jpg"	"Brad Sherman"	"California 30"	"October 24, 1954"	"Sherman Oaks"	"man"	"democratic"
58	58	"058.jpg"	"Brad Wenstrup"	"Ohio 2"	"June 17, 1958"	"Cincinnati"	"man"	"republican"
59	59	"059.jpg"	"Brenda Lawrence"	"Michigan 14"	"October 18, 1954"	"Southfield"	"woman"	"democratic"
60	60	"060.jpg"	"Brendan Boyle"	"Pennsylvania 2"	"February 6, 1977"	"Philadelphia"	"man"	"democratic"
61	61	"061.jpg"	"Brett Guthrie"	"Kentucky 2"	"February 18, 1964"	"Bowling Green"	"man"	"republican"
62	62	"062.jpg"	"Brian Babin"	"Texas 36"	"March 23, 1948"	"Woodville"	"man"	"republican"
63	63	"063.jpg"	"Brian Fitzpatrick"	"Pennsylvania 1"	"December 17, 1973"	"Levittown"	"man"	"republican"
64	64	"064.jpg"	"Brian Higgins"	"New York 26"	"October 6, 1959"	"Buffalo"	"man"	"democratic"
65	65	"065.jpg"	"Brian Mast"	"Florida 18"	"July 10, 1980"	"Palm City"	"man"	"republican"
66	66	"066.jpg"	"Bruce Westerman"	"Arkansas 4"	"November 18, 1967"	"Hot Springs"	"man"	"republican"
67	67	"067.jpg"	"Bryan Steil"	"Wisconsin 1"	"March 3, 1981"	"Janesville"	"man"	"republican"
68	68	"068.jpg"	"Buddy Carter"	"Georgia 1"	"September 6, 1957"	"Pooler"	"man"	"republican"
69	69	"069.jpg"	"Burgess Owens"	"Utah 4"	"August 2, 1951"	"Salt Lake City"	"man"	"republican"
70	70	"070.jpg"	"Byron Donalds"	"Florida 19"	"October 26, 1978"	"Naples"	"man"	"republican"
71	71	"071.jpg"	"Carlos Giménez"	"Florida 26"	"January 17, 1954"	"Miami"	"man"	"republican"
72	72	"072.jpg"	"Carol Miller"	"West Virginia 3"	"November 4, 1950"	"Huntington"	"woman"	"republican"
73	73	"073.jpg"	"Carolyn Bourdeaux"	"Georgia 7"	"June 3, 1970"	"Suwanee"	"woman"	"democratic"
74	74	"074.jpg"	"Carolyn Maloney"	"New York 12"	"February 19, 1946"	"Manhattan"	"woman"	"democratic"
75	75	"075.jpg"	"Cathy McMorris Rodgers"	"Washington 5"	"May 22, 1969"	"Spokane"	"woman"	"republican"
76	76	"076.jpg"	"Charlie Crist"	"Florida 13"	"July 24, 1956"	"St. Petersburg"	"man"	"democratic"
77	77	"077.jpg"	"Chellie Pingree"	"Maine 1"	"April 2, 1955"	"North Haven"	"woman"	"democratic"
78	78	"078.jpg"	"Cheri Bustos"	"Illinois 17"	"October 17, 1961"	"Moline"	"woman"	"democratic"
79	79	"079.jpg"	"Chip Roy"	"Texas 21"	"August 7, 1972"	"Austin"	"man"	"republican"
80	80	"080.jpg"	"Chris Jacobs"	"New York 27"	"November 28, 1966"	"Orchard Park"	"man"	"republican"
81	81	"081.jpg"	"Chris Pappas"	"New Hampshire 1"	"June 4, 1980"	"Manchester"	"man"	"democratic"
82	82	"082.jpg"	"Chris Smith"	"New Jersey 4"	"March 4, 1953"	"Hamilton Township"	"man"	"republican"
83	83	"083.jpg"	"Chris Stewart"	"Utah 2"	"July 15, 1960"	"Farmington"	"man"	"republican"
84	84	"084.jpg"	"Chrissy Houlahan"	"Pennsylvania 6"	"June 5, 1967"	"Devon"	"woman"	"democratic"
85	85	"085.jpg"	"Chuck Fleischmann"	"Tennessee 3"	"October 11, 1962"	"Chattanooga"	"man"	"republican"
86	86	"086.jpg"	"Cindy Axne"	"Iowa 3"	"April 20, 1965"	"West Des Moines"	"woman"	"democratic"
87	87	"087.jpg"	"Claudia Tenney"	"New York 22"	"February 4, 1961"	"New Hartford"	"woman"	"republican"
88	88	"088.jpg"	"Clay Higgins"	"Louisiana 3"	"August 24, 1961"	"Lafayette"	"man"	"republican"
89	89	"089.jpg"	"Cliff Bentz"	"Oregon 2"	"January 12, 1952"	"Ontario"	"man"	"republican"
90	90	"090.jpg"	"Colin Allred"	"Texas 32"	"April 15, 1983"	"Dallas"	"man"	"democratic"
91	91	"091.jpg"	"Connie Conway"	"California 22"	"September 25, 1950"	"Tulare"	"woman"	"republican"
92	92	"092.jpg"	"Conor Lamb"	"Pennsylvania 17"	"June 27, 1984"	"Mt. Lebanon"	"man"	"democratic"
93	93	"093.jpg"	"Cori Bush"	"Missouri 1"	"July 21, 1976"	"St. Louis"	"woman"	"democratic"
94	94	"094.jpg"	"Dan Bishop"	"North Carolina 9"	"July 1, 1964"	"Charlotte"	"man"	"republican"
95	95	"095.jpg"	"Dan Crenshaw"	"Texas 2"	"March 14, 1984"	"Houston"	"man"	"republican"
96	96	"096.jpg"	"Dan Kildee"	"Michigan 5"	"August 11, 1958"	"Flushing"	"man"	"democratic"
97	97	"097.jpg"	"Dan Meuser"	"Pennsylvania 9"	"February 10, 1964"	"Dallas"	"man"	"republican"
98	98	"098.jpg"	"Dan Newhouse"	"Washington 4"	"July 10, 1955"	"Sunnyside"	"man"	"republican"
99	99	"099.jpg"	"Daniel Webster"	"Florida 11"	"April 27, 1949"	"Clermont"	"man"	"republican"
100	100	"100.jpg"	"Danny K. Davis"	"Illinois 7"	"September 6, 1941"	"Chicago"	"man"	"democratic"
101	101	"101.jpg"	"Darin LaHood"	"Illinois 18"	"July 5, 1968"	"Peoria"	"man"	"republican"
102	102	"102.jpg"	"Darrell Issa"	"California 50"	"November 1, 1953"	"San Diego"	"man"	"republican"
103	103	"103.jpg"	"Darren Soto"	"Florida 9"	"February 25, 1978"	"Kissimmee"	"man"	"democratic"
104	104	"104.jpg"	"David Cicilline"	"Rhode Island 1"	"July 15, 1961"	"Providence"	"man"	"democratic"
105	105	"105.jpg"	"David Joyce"	"Ohio 14"	"March 17, 1957"	"Russell Township"	"man"	"republican"
106	106	"106.jpg"	"David Kustoff"	"Tennessee 8"	"October 8, 1966"	"Germantown"	"man"	"republican"
107	107	"107.jpg"	"David McKinley"	"West Virginia 1"	"March 28, 1947"	"Wheeling"	"man"	"republican"
108	108	"108.jpg"	"David Price"	"North Carolina 4"	"August 17, 1940"	"Chapel Hill"	"man"	"democratic"
109	109	"109.jpg"	"David Rouzer"	"North Carolina 7"	"February 16, 1972"	"Wilmington"	"man"	"republican"
110	110	"110.jpg"	"David Schweikert"	"Arizona 6"	"March 3, 1962"	"Fountain Hills"	"man"	"republican"
111	111	"111.jpg"	"David Scott"	"Georgia 13"	"June 27, 1945"	"Atlanta"	"man"	"democratic"
112	112	"112.jpg"	"David Trone"	"Maryland 6"	"September 21, 1955"	"Potomac"	"man"	"democratic"
113	113	"113.jpg"	"David Valadao"	"California 21"	"April 14, 1977"	"Hanford"	"man"	"republican"
114	114	"114.jpg"	"Dean Phillips"	"Minnesota 3"	"January 20, 1969"	"Deephaven"	"man"	"democratic"
115	115	"115.jpg"	"Debbie Dingell"	"Michigan 12"	"November 23, 1953"	"Dearborn"	"woman"	"democratic"
