""	"filename"	"names"	"states"	"born"	"resides"	"gender"	"party"
0	"000.jpg"	"Alex Padilla"	"California"	"March 22, 1973"	"Porter Ranch"	"man"	"democratic"
1	"001.jpg"	"Bill Hagerty"	"Tennessee"	"August 14, 1959"	"Nashville"	"man"	"republican"
2	"002.jpg"	"Amy Klobuchar"	"Minnesota"	"May 25, 1960"	"Minneapolis"	"woman"	"democratic"
3	"003.jpg"	"Angus King"	"Maine"	"March 31, 1944"	"Brunswick"	"man"	"democratic"
4	"004.jpg"	"Ben Sasse"	"Nebraska"	"February 22, 1972"	"Fremont"	"man"	"republican"
5	"005.jpg"	"Ben Cardin"	"Maryland"	"October 5, 1943"	"Baltimore"	"man"	"democratic"
6	"006.jpg"	"Ben Ray Luján"	"New Mexico"	"June 7, 1972"	"Santa Fe"	"man"	"democratic"
7	"007.jpg"	"Bernie Sanders"	"Vermont"	"September 8, 1941"	"Burlington"	"man"	"democratic"
8	"008.jpg"	"Bill Cassidy"	"Louisiana"	"September 28, 1957"	"Baton Rouge"	"man"	"republican"
9	"009.jpg"	"Bob Casey Jr."	"Pennsylvania"	"April 13, 1960"	"Scranton"	"man"	"democratic"
10	"010.jpg"	"Bob Menendez"	"New Jersey"	"January 1, 1954"	"North Bergen"	"man"	"democratic"
11	"011.jpg"	"Brian Schatz"	"Hawaii"	"October 20, 1972"	"Honolulu"	"man"	"democratic"
12	"012.jpg"	"Catherine Cortez Masto"	"Nevada"	"March 29, 1964"	"Las Vegas"	"woman"	"democratic"
13	"013.jpg"	"Chris Coons"	"Delaware"	"September 9, 1963"	"Wilmington"	"man"	"democratic"
14	"014.jpg"	"Chris Murphy"	"Connecticut"	"August 3, 1973"	"Cheshire"	"man"	"democratic"
15	"015.jpg"	"Chris Van Hollen"	"Maryland"	"January 10, 1959"	"Kensington"	"man"	"democratic"
16	"016.jpg"	"Chuck Grassley"	"Iowa"	"September 17, 1933"	"New Hartford"	"man"	"republican"
17	"017.jpg"	"Chuck Schumer"	"New York"	"November 23, 1950"	"Brooklyn"	"man"	"democratic"
18	"018.jpg"	"Cindy Hyde-Smith"	"Mississippi"	"May 10, 1959"	"Brookhaven"	"woman"	"republican"
19	"019.jpg"	"Cory Booker"	"New Jersey"	"April 27, 1969"	"Newark"	"man"	"democratic"
